gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,LogTotalCharges,TenureGroup,CustomerValue
Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,29.85,3.4291367503513968,0-1yr,Low Value
Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,55.5735294117647,7.544596623330987,2-4yrs,Mid Value
Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,54.075,4.692723082995953,0-1yr,Low Value
Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,40.90555555555556,7.518471485562923,2-4yrs,Mid Value
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,75.825,5.028147719180887,0-1yr,Low Value
Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,102.5625,6.711131937477322,0-1yr,Mid Value
Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,88.60909090909091,7.575789758727007,1-2yrs,Mid Value
Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,30.189999999999998,5.713402718033191,0-1yr,Low Value
Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,108.78750000000001,8.02192918843427,2-4yrs,High Value
Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,56.25725806451613,8.15735611033029,4-6yrs,High Value
Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,45.18846153846154,6.377491961323671,1-2yrs,Low Value
Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,20.425,5.792403666309729,1-2yrs,Low Value
Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,97.95,8.645076161696084,4-6yrs,High Value
Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,102.78163265306122,8.524625503233533,4-6yrs,High Value
Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,107.44200000000001,7.8961992165555,2-4yrs,Mid Value
Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,114.42246376811593,8.974130577893364,4-6yrs,High Value
Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,19.672115384615385,6.931422976282321,4-6yrs,Mid Value
Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,103.97535211267606,8.906969200059761,4-6yrs,High Value
Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,52.835,6.271649838789389,0-1yr,Low Value
Female,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,88.70952380952382,7.530426345737758,1-2yrs,Mid Value
Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,3.7049988359938197,0-1yr,Low Value
Male,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,16.854166666666668,5.31443674842792,0-1yr,Low Value
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,3.051639905492287,0-1yr,Low Value
Female,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,60.432758620689654,8.16225958760722,4-6yrs,High Value
Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,60.61836734693878,7.996754846467187,4-6yrs,High Value
Female,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,51.019999999999996,7.3340682196031395,2-4yrs,Mid Value
Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,101.04574468085106,8.46593147547745,2-4yrs,High Value
Male,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,3.4404180948154366,0-1yr,Low Value
